#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-B3AA733A4BDE41-1CD58AD9E4528FF7
#datatype	hitsFull Results
#status	0
#Start time	2020-12-09T13:44:56	Run time	0:00:09:22
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	specific	376990	31	259	1.30698e-85	256.271	pfam03102	NeuB	 - 	cl17225
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	superfamily	388417	31	259	1.30698e-85	256.271	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	non-specific	225000	9	270	5.23145e-77	238.001	COG2089	SpsE	 - 	cl30261
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	superfamily	225000	9	270	5.23145e-77	238.001	cl30261	SpsE superfamily	 - 	 - 
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	non-specific	274655	10	270	1.35305e-71	223.613	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	superfamily	274655	10	270	1.35305e-71	223.613	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	non-specific	163337	9	273	1.04597e-63	203.306	TIGR03586	PseI	 - 	cl31462
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	superfamily	163337	9	273	1.04597e-63	203.306	cl31462	PseI superfamily	 - 	 - 
Q#1 - >115:Desulfovibrio salexigens DSM 2638 | Desal_0566	non-specific	273577	72	148	0.00517014	37.7092	TIGR01361	DAHP_synth_Bsub	NC	cl17225
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	non-specific	376990	25	253	1.78739e-72	222.373	pfam03102	NeuB	 - 	cl17225
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	superfamily	388417	25	253	1.78739e-72	222.373	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	non-specific	225000	1	260	7.00306e-63	201.407	COG2089	SpsE	 - 	cl30261
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	superfamily	225000	1	260	7.00306e-63	201.407	cl30261	SpsE superfamily	 - 	 - 
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	non-specific	274655	4	264	6.59025e-56	182.782	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	superfamily	274655	4	264	6.59025e-56	182.782	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	non-specific	163337	4	218	8.84314e-50	167.097	TIGR03586	PseI	C	cl31462
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	superfamily	163337	4	218	8.84314e-50	167.097	cl31462	PseI superfamily	C	 - 
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	non-specific	172030	66	157	0.000632981	40.3837	PRK13397	PRK13397	NC	cl17225
Q#2 - >357:Shewanella halifaxensis HAW-EB4 | Shal_1403	non-specific	184028	74	157	0.00114044	39.6824	PRK13398	PRK13398	NC	cl17225
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	non-specific	376990	27	255	4.4499e-75	229.307	pfam03102	NeuB	 - 	cl17225
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	superfamily	388417	27	255	4.4499e-75	229.307	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	non-specific	225000	2	222	2.35493e-65	207.955	COG2089	SpsE	C	cl30261
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	superfamily	225000	2	222	2.35493e-65	207.955	cl30261	SpsE superfamily	C	 - 
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	non-specific	274655	6	262	1.53778e-58	189.715	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	superfamily	274655	6	262	1.53778e-58	189.715	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	non-specific	163337	5	222	3.03091e-51	170.949	TIGR03586	PseI	C	cl31462
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	superfamily	163337	5	222	3.03091e-51	170.949	cl31462	PseI superfamily	C	 - 
Q#3 - >366:Shewanella oneidensis MR-1 | SO_3261	non-specific	172030	89	159	0.00191345	38.8429	PRK13397	PRK13397	NC	cl17225
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	non-specific	376990	27	255	2.67894e-75	229.692	pfam03102	NeuB	 - 	cl17225
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	superfamily	388417	27	255	2.67894e-75	229.692	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	non-specific	225000	4	220	7.45587e-64	204.103	COG2089	SpsE	C	cl30261
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	superfamily	225000	4	220	7.45587e-64	204.103	cl30261	SpsE superfamily	C	 - 
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	non-specific	274655	6	262	2.49561e-60	194.338	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	superfamily	274655	6	262	2.49561e-60	194.338	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	non-specific	163337	5	220	5.55355e-49	165.171	TIGR03586	PseI	C	cl31462
Q#4 - >342:Shewanella baltica OS155 | Sbal_2958	superfamily	163337	5	220	5.55355e-49	165.171	cl31462	PseI superfamily	C	 - 
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	non-specific	376990	27	255	3.57999e-75	229.692	pfam03102	NeuB	 - 	cl17225
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	superfamily	388417	27	255	3.57999e-75	229.692	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	non-specific	225000	4	220	1.0444e-63	203.718	COG2089	SpsE	C	cl30261
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	superfamily	225000	4	220	1.0444e-63	203.718	cl30261	SpsE superfamily	C	 - 
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	non-specific	274655	6	262	4.46673e-60	193.953	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	superfamily	274655	6	262	4.46673e-60	193.953	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	non-specific	163337	5	220	1.74114e-49	166.326	TIGR03586	PseI	C	cl31462
Q#5 - >345:Shewanella baltica OS223 | Sbal223_1405	superfamily	163337	5	220	1.74114e-49	166.326	cl31462	PseI superfamily	C	 - 
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	non-specific	376990	26	296	5.25792e-71	220.447	pfam03102	NeuB	 - 	cl17225
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	superfamily	388417	26	296	5.25792e-71	220.447	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	non-specific	225000	7	309	3.41535e-54	180.606	COG2089	SpsE	 - 	cl30261
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	superfamily	225000	7	309	3.41535e-54	180.606	cl30261	SpsE superfamily	 - 	 - 
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	non-specific	274655	8	309	1.31454e-51	173.537	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	superfamily	274655	8	309	1.31454e-51	173.537	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	non-specific	163337	8	311	1.49528e-41	147.066	TIGR03586	PseI	 - 	cl31462
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	superfamily	163337	8	311	1.49528e-41	147.066	cl31462	PseI superfamily	 - 	 - 
Q#6 - >114:Desulfohalobium retbaense DSM 5692 | Dret_0614	non-specific	184028	96	185	0.000263158	41.9936	PRK13398	PRK13398	NC	cl17225
